STATE/REGION,IMPORT_VAL,IMP_NAICS,IMP_NAICS_DESC,YEAR,IMP_LEVEL,GDP_CODE
WV,3701383884,-,TOTAL FOR ALL NORTH AMERICAN INDUSTRY CLASSIFICATION SYSTEM (NAICS) CODES,2013,1,..0
WY,2161765008,-,TOTAL FOR ALL NORTH AMERICAN INDUSTRY CLASSIFICATION SYSTEM (NAICS) CODES,2013,1,..0
WV,3427913,3323,ARCHITECTURAL AND STRUCTURAL METALS,2013,4,332
WY,3544349,3323,ARCHITECTURAL AND STRUCTURAL METALS,2013,4,332
AK,4887586,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
AL,26137314,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
AR,3708753,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
AZ,24857412,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
CA,419529593,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
CO,30711409,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
CT,88630813,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
DC,242363,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
DE,4809630,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
FL,72109391,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
GA,104356767,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
HI,8832847,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
IA,11195344,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
ID,2895287,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
IL,204228637,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
IN,85461817,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
KS,17902103,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
KY,51127043,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
LA,60198830,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
MA,51551500,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
MD,16517529,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
ME,3218900,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
MI,96853241,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
MN,111489398,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
MO,48076369,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
MS,57359675,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
MT,5243846,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
NC,114411189,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
ND,43262596,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
NE,6874183,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
NH,7431681,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
NJ,125833074,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
NM,14654709,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
NV,79860787,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
NY,144008471,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
OH,277697560,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
OK,25019599,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
OR,25175751,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
PA,135688911,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
PR,18300404,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
RI,4332716,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
SC,222448739,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
SD,6617154,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
TN,109107303,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
TX,549479703,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
UT,10756576,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
VA,65337963,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
VI,59072,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
VT,4698421,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
WA,66037575,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
WI,56394884,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
WV,17171545,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
WY,4243214,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
AK,212467,3325,HARDWARE,2013,4,332
TX,31299194309,3342,COMMUNICATIONS EQUIPMENT,2013,4,334
UT,125284364,3342,COMMUNICATIONS EQUIPMENT,2013,4,334
VA,515500119,3342,COMMUNICATIONS EQUIPMENT,2013,4,334
VI,891464,3342,COMMUNICATIONS EQUIPMENT,2013,4,334
VT,9076704,3342,COMMUNICATIONS EQUIPMENT,2013,4,334
WA,2526252412,3342,COMMUNICATIONS EQUIPMENT,2013,4,334
WI,145016014,3342,COMMUNICATIONS EQUIPMENT,2013,4,334
WV,2687830,3342,COMMUNICATIONS EQUIPMENT,2013,4,334
WY,5441791,3342,COMMUNICATIONS EQUIPMENT,2013,4,334
AK,1261387,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
AL,259227996,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
AR,138500408,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
AZ,303368786,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
CA,13674969986,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
CO,85500252,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
CT,14989605,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
DC,1341993,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
DE,17101643,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
FL,881635937,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
GA,849451721,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
HI,1835142,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
IA,24889589,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
ID,3372232,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
IL,3077872210,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
IN,754876462,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
KS,87030386,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
KY,932733911,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
LA,14559098,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
MA,556296312,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
MD,166491608,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
ME,1450882,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
MI,1318089011,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
MN,1065604912,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
MO,154851494,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
MS,66253293,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
MT,614359,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
NC,205806750,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
ND,670591,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
NE,21592025,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
NH,27928044,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
NJ,1377515919,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
NM,7741887,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
NV,172516283,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
NY,845102306,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
OH,583933205,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
OK,163757599,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
OR,171796124,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
PA,351877941,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
PR,74231013,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
RI,24750630,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
SC,152060685,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
SD,835748,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
TN,386238038,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
IN,29493425,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
KS,7807027,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
KY,34287365,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
LA,71231457,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
MA,53904074,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
MD,13005745,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
ME,3681398,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
MI,74155554,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
MN,207564399,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
MO,49553261,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
MS,3004867,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
MT,3966312,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
NC,52787395,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
ND,1371112,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
NE,10846546,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
NH,13502627,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
NJ,222218905,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
NM,4753502,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
NV,33140570,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
NY,125236100,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
OH,302733977,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
OK,3929529,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
OR,19043708,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
PA,394117334,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
PR,8337112,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
RI,2703326,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
SC,120376558,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
SD,1922112,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
TN,64971002,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
TX,534560322,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
UT,214549344,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
VA,136558899,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
VI,16379,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
VT,3157275,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
WA,383843688,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
WI,380389180,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
WV,1672914,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
WY,738963,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
AK,4860330,337,FURNITURE AND FIXTURES,2013,3,337
AL,204952176,337,FURNITURE AND FIXTURES,2013,3,337
AR,258529477,337,FURNITURE AND FIXTURES,2013,3,337
AZ,335449646,337,FURNITURE AND FIXTURES,2013,3,337
CA,7058416249,337,FURNITURE AND FIXTURES,2013,3,337
CO,309958653,337,FURNITURE AND FIXTURES,2013,3,337
CT,405486404,337,FURNITURE AND FIXTURES,2013,3,337
DC,19917634,337,FURNITURE AND FIXTURES,2013,3,337
DE,30150992,337,FURNITURE AND FIXTURES,2013,3,337
FL,1252810707,337,FURNITURE AND FIXTURES,2013,3,337
GA,2017678221,337,FURNITURE AND FIXTURES,2013,3,337
HI,59325062,337,FURNITURE AND FIXTURES,2013,3,337
IA,147309411,337,FURNITURE AND FIXTURES,2013,3,337
ID,10324034,337,FURNITURE AND FIXTURES,2013,3,337
IL,1171972323,337,FURNITURE AND FIXTURES,2013,3,337
IN,452130534,337,FURNITURE AND FIXTURES,2013,3,337
RI,53196147,98,GOODS RETURNED TO CANADA (EXPORTS ONLY); U.S. GOODS RETURNED AND REIMPORTED ITEMS (IMPORTS ONLY),2013,2,NA
SC,469952836,98,GOODS RETURNED TO CANADA (EXPORTS ONLY); U.S. GOODS RETURNED AND REIMPORTED ITEMS (IMPORTS ONLY),2013,2,NA
SD,24233036,98,GOODS RETURNED TO CANADA (EXPORTS ONLY); U.S. GOODS RETURNED AND REIMPORTED ITEMS (IMPORTS ONLY),2013,2,NA
TN,2107382546,98,GOODS RETURNED TO CANADA (EXPORTS ONLY); U.S. GOODS RETURNED AND REIMPORTED ITEMS (IMPORTS ONLY),2013,2,NA
TX,5605975346,98,GOODS RETURNED TO CANADA (EXPORTS ONLY); U.S. GOODS RETURNED AND REIMPORTED ITEMS (IMPORTS ONLY),2013,2,NA
UT,349591200,98,GOODS RETURNED TO CANADA (EXPORTS ONLY); U.S. GOODS RETURNED AND REIMPORTED ITEMS (IMPORTS ONLY),2013,2,NA
VA,445813792,98,GOODS RETURNED TO CANADA (EXPORTS ONLY); U.S. GOODS RETURNED AND REIMPORTED ITEMS (IMPORTS ONLY),2013,2,NA
VI,2743653,98,GOODS RETURNED TO CANADA (EXPORTS ONLY); U.S. GOODS RETURNED AND REIMPORTED ITEMS (IMPORTS ONLY),2013,2,NA
VT,146924192,98,GOODS RETURNED TO CANADA (EXPORTS ONLY); U.S. GOODS RETURNED AND REIMPORTED ITEMS (IMPORTS ONLY),2013,2,NA
WA,1052928959,98,GOODS RETURNED TO CANADA (EXPORTS ONLY); U.S. GOODS RETURNED AND REIMPORTED ITEMS (IMPORTS ONLY),2013,2,NA
WI,463925480,98,GOODS RETURNED TO CANADA (EXPORTS ONLY); U.S. GOODS RETURNED AND REIMPORTED ITEMS (IMPORTS ONLY),2013,2,NA
WV,103366612,98,GOODS RETURNED TO CANADA (EXPORTS ONLY); U.S. GOODS RETURNED AND REIMPORTED ITEMS (IMPORTS ONLY),2013,2,NA
WY,61545907,98,GOODS RETURNED TO CANADA (EXPORTS ONLY); U.S. GOODS RETURNED AND REIMPORTED ITEMS (IMPORTS ONLY),2013,2,NA
AK,683283,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
AL,2803632,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
AR,325082,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
AZ,36556308,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
CA,464534561,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
CO,7952458,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
CT,13863565,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
DC,4454214,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
DE,74816,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
FL,16425796,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
GA,3925866,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
HI,326230,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
IA,7451985,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
ID,2679540,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
IL,34874016,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
IN,3432461,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
KS,602105,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
KY,7145137,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
LA,9691573,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
MA,10277701,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
MD,3271656,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
ME,263056676,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
MI,197423610,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
MN,360864167,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
MO,16068203,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
MS,517529,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
MT,2841472,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
NC,7992250,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
ND,2984349,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
NE,613120,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
NH,78265397,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
NJ,9389208,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
NM,5075478,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
NV,6841011,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
NY,592228344,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
OH,9009364,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
OK,195907,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
OR,24319243,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
PA,80512082,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
PR,324461,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
RI,1464307,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
SC,8768030,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
SD,229718,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
TN,8122177,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
TX,57594364,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
TX,429885917,112,LIVESTOCK AND LIVESTOCK PRODUCTS,2013,3,111-112
UT,206563962,112,LIVESTOCK AND LIVESTOCK PRODUCTS,2013,3,111-112
VA,7217513,112,LIVESTOCK AND LIVESTOCK PRODUCTS,2013,3,111-112
